@hubs
# A hub is a group of zones.
# ***** !!!!! SIZES INDICATE NUMBER OF INTERSECTIONS, NOT NUMBER OF POIS !!!!! *****
# ***** !!!!! DO NOT ABUSE MIN AND MAX, YOU WILL BREAK THE GENERATION !!!!! *****
# name,biomes,townships,zones,small_sizes,medium_sizes,large_sizes,prob,min,max
#    name: name of the hub
#    biomes: biomes where the hub can be generated
#    townships: townships of this hub
#    zones: zones contained by the hub
#    small_sizes: sizes the hub can have when users selects "small"
#    medium_sizes: sizes the hub can have when users selects "medium"
#    large_sizes: sizes the hub can have when users selects "large"
#    prob: probability of this hub being generated. A number between 0 and 1 is advisable, but it can be exceeded
#    min: minimum number of times this hub must be generated
#    max: maximum number of times this hub can be generated
default_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,10/20,30/40/50,60/70/80,1,,
default_single_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,80/100/120,130/150/170,180/200/220,1,,
default_town,burnt_forest/snow/pine_forest/desert/wasteland,town,residentialold/residentialnew/industrial/commercial,5/10,10/15/20,30/40,1,,
default_village,burnt_forest/snow/pine_forest/desert/wasteland,village,residentialold/residentialnew/commercial,1/2,1/2/3/4/5,6/8/10,1,,
oldwest_village,desert,village,oldwest,2/3,3/4,4/5,0.5,,

@zones
# A zone is a group of POIs.
# ***** !!!!! DO NOT REPEAT THE SAME COLOR MULTIPLE TIMES !!!!! *****
# name,red,green,blue
#    name: name of the zone
#    red: red value of rgb color
#    green: green value of rgb color
#    blue: blue value of rgb color
residentialold,255,100,0 #orange
residentialnew,255,255,0 #yellow
downtown,0,255,0 #green
industrial,0,0,255 #blue
commercial,255,0,255 #purple
oldwest,161,81,0 #brown

#<name>,<x size>,<y size>,<z size>,<y offset>,<rotation to face north>,<allowed biomes>,<allowed townships>,<zones>,<min>,<max>
@pois
abandoned_house_01,24,18,26,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_02,24,17,25,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_03,21,16,28,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_04,29,16,30,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_05,26,22,30,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_06,30,18,31,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_07,34,23,29,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
abandoned_house_08,28,29,34,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
apartment_adobe_red_5_flr,49,37,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
apartment_brick_6_flr,55,61,57,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
army_barracks_01,51,40,97,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,industrial,,
army_camp_01,53,23,57,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,industrial,,
army_camp_02,53,22,57,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,industrial,,
army_camp_03,53,26,57,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,industrial,,
bar_sm_01,24,10,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial/downtown,,
